algorithm,k_or_param,status,n_clusters,noise_ratio,stability_ari_mean,silhouette,davies_bouldin,calinski_harabasz,reason,window_size_s
kmeans,2,ok,2.0,0.0,0.9819024635935112,0.10100462235980612,2.8772312326758573,156.50470216767096,,5.0
gmm,2,ok,2.0,0.0,,0.10833957213347012,2.79790136665595,147.6061503603741,,5.0
agglomerative,2,ok,2.0,0.0,,0.0598083152874586,3.925359296897517,89.82479189220024,,5.0
kmeans,3,ok,3.0,0.0,0.9838575447052443,0.08612834246144879,2.8717734723172375,130.89430819877327,,5.0
gmm,3,ok,3.0,0.0,,0.0827172079563779,2.9960063659935376,121.33778825598844,,5.0
agglomerative,3,ok,3.0,0.0,,0.05925859485051581,3.2834690483614217,88.87275139226246,,5.0
kmeans,4,ok,4.0,0.0,0.9255867815696837,0.0735079228700816,2.7645365912962103,112.56884717521133,,5.0
gmm,4,ok,4.0,0.0,,0.06754345489055842,2.9247035657803253,104.09421925516597,,5.0
agglomerative,4,ok,4.0,0.0,,0.04988313919193349,3.1340583714983428,83.36491592336898,,5.0
kmeans,5,ok,5.0,0.0,0.970603858741554,0.08195907677951013,2.601326236688515,104.53739971624907,,5.0
gmm,5,ok,5.0,0.0,,0.07337375983128867,2.7343931270961876,97.98227593087957,,5.0
agglomerative,5,ok,5.0,0.0,,0.05606066778393859,2.9091336042928595,79.24681326525022,,5.0
kmeans,6,ok,6.0,0.0,0.9020898551354485,0.07716765585179354,2.667141880552242,93.41513081489694,,5.0
gmm,6,ok,6.0,0.0,,0.06836303307916057,2.882673620629969,86.59661644503866,,5.0
agglomerative,6,ok,6.0,0.0,,0.05741212217866699,2.8111974684045244,76.10182809700532,,5.0
kmeans,7,ok,7.0,0.0,0.8661797406750843,0.07724658034129467,2.7063965658101883,86.0280897310625,,5.0
gmm,7,ok,7.0,0.0,,0.059550563919246784,3.0392941999634173,76.10425898922571,,5.0
agglomerative,7,ok,7.0,0.0,,0.06271178513645631,2.651017101668597,71.04044893398031,,5.0
kmeans,8,ok,8.0,0.0,0.809781031531078,0.07805496004340003,2.5775635859781794,79.98616972266923,,5.0
gmm,8,ok,8.0,0.0,,0.060078997577691376,2.9125506115900768,72.62820085737003,,5.0
agglomerative,8,ok,8.0,0.0,,0.061695180659974404,2.9081162151048945,67.36700397357677,,5.0
kmeans,9,ok,9.0,0.0,0.75369973953821,0.07765128765792398,2.6138554026939222,74.72206145787324,,5.0
gmm,9,ok,9.0,0.0,,0.05136755993897845,2.7785150998276,69.2927751186292,,5.0
agglomerative,9,ok,9.0,0.0,,0.06403746925714758,2.809834902738125,62.692941278799445,,5.0
kmeans,10,ok,10.0,0.0,0.6889032896932918,0.07572777749024628,2.5704619808938944,70.15808653735378,,5.0
gmm,10,ok,10.0,0.0,,0.03666771389760094,3.029611995699027,60.629571773660935,,5.0
agglomerative,10,ok,10.0,0.0,,0.059615575317491454,2.8413559227738356,59.106586853603474,,5.0
dbscan,eps=0.7,ok,0.0,1.0,,,,,,5.0
dbscan,eps=1.0,ok,0.0,1.0,,,,,,5.0
dbscan,eps=1.3,ok,0.0,1.0,,,,,,5.0
dbscan,eps=1.6,ok,0.0,1.0,,,,,,5.0
dbscan,eps=2.0,ok,0.0,1.0,,,,,,5.0
hdbscan,optional,skipped,,,,,,,hdbscan is not installed,5.0
